Atributo,Tipo de dato,Tamaño(bits),Descripción,,,,,
IdCatRutas,int ,4bytes,Identificador de Catalogo de rutas,,,,,
NombreAcceso,varchar(250),250bytes,Nombre de acceso,,,,,
FechaCreacion,datetime,8bytes,Valor de fecha ,,,,,
IdCatPrecio,int ,4bytes,Identificador de Catalogo de precio,,,,,
NombrePrecio,varchar(250),250bytes,Nombre de precio,,,,,
Precio,money,8bytes,Valor de precio ,,,,,
FechaCreacion,datetime,8bytes,Valor de fecha ,,,,,
IdAcceso,int ,4bytes,Identificador de acceso,,,,,
NombreAcceso,varchar(250),250bytes,Nombre de acceso,,ID,4bytes,int ,Identificador de tabla
FechaCreacion,datetime,8bytes,Valor de fecha ,,NombreRuta,250bytes,varchar(250),Nombre de ruta
IdUsuario,int ,4bytes,Identificador de usuarios,,Fecha,8bytes,datetime,Valor de fecha 
Nombre,varchar(250),250bytes,Valor de nombre ,,NombrePrecio,250bytes,varchar(250),Nombre de precio
ApellidoP,Varchar(250),250bytes,Valor de apellidop ,,Precio,8bytes,money,Valor de precio 
ApellidoM,Varchar(250),250bytes,Valor de apellidom ,,NombreAcceso,250bytes,varchar(250),Nombre de acceso
Correo,Varchar(250),250bytes,Valor de correo ,,Nombre,250bytes,varchar(250),Valor de nombre 
Usuario,varchar(250),250bytes,Valor de usuario ,,ApellidoP,250bytes,Varchar(250),Valor de apellidop 
Pass,varchar(250),250bytes,Valor de pass ,,ApellidoM,250bytes,Varchar(250),Valor de apellidom 
FotoAd,image,2gb,Foto de delantera credencial,,Correo,250bytes,Varchar(250),Valor de correo 
FotoAt,image,2gb,Foto de atras credencial,,Usuario,250bytes,varchar(250),Valor de usuario 
FechaCreacion,datetime,8bytes,Valor de fecha ,,Pass,250bytes,varchar(250),Valor de pass 
IdBoleto,int ,4bytes,Identificador de boleto,,FotoAd,2gb,image,Foto de delantera credencial
FechaCreacion,datetime,8bytes,Valor de fecha ,,FotoAt,2gb,image,Foto de atras credencial
Estado,bit,1byte,Valor de estado  falso o verdadero,,Estado,1byte,bit,Valor de estado  falso o verdadero
